wavenumber,cross_sec
30050.70,3.36E-19
30050.80,3.16E-19
30050.90,2.89E-19
30051.00,4.02E-19
30051.10,5.60E-19
30051.20,6.49E-19
30051.30,7.83E-19
30051.40,8.78E-19
30051.50,8.53E-19
30051.60,7.49E-19
30051.70,6.80E-19
30051.80,6.37E-19
30051.90,5.67E-19
30052.00,4.93E-19
30052.10,4.44E-19
30052.20,4.39E-19
30052.30,4.10E-19
30052.40,2.47E-19
30052.50,1.72E-19
30052.60,1.97E-19
30052.70,2.44E-19
30052.80,2.19E-19
30052.90,1.12E-19
30053.00,6.60E-20
30053.10,6.91E-20
30053.20,6.92E-20
30053.30,7.54E-20
30053.40,6.76E-20
30053.50,4.92E-20
30053.60,5.01E-20
30053.70,4.96E-20
30053.80,5.13E-20
30053.90,6.20E-20
30054.00,7.74E-20
30054.10,9.63E-20
30054.20,9.84E-20
30054.30,9.03E-20
30054.40,7.68E-20
30054.50,6.20E-20
30054.60,6.07E-20
30054.70,7.90E-20
30054.80,8.76E-20
30054.90,1.03E-19
30055.00,1.44E-19
30055.10,1.72E-19
30055.20,1.94E-19
30055.30,1.98E-19
30055.40,1.63E-19
30055.50,1.28E-19
30055.60,1.14E-19
30055.70,1.27E-19
30055.80,1.80E-19
30055.90,2.17E-19
30056.00,1.91E-19
30056.10,1.30E-19
30056.20,1.16E-19
30056.30,1.57E-19
30056.40,1.62E-19
30056.50,1.59E-19
30056.60,2.05E-19
30056.70,2.47E-19
30056.80,3.04E-19
30056.90,3.52E-19
30057.00,3.97E-19
30057.10,4.80E-19
30057.20,6.17E-19
30057.30,7.82E-19
30057.40,8.71E-19
30057.50,9.33E-19
30057.60,9.89E-19
30057.70,1.01E-18
30057.80,9.52E-19
30057.90,8.54E-19
30058.00,7.38E-19
30058.10,5.87E-19
30058.20,4.89E-19
30058.30,4.18E-19
30058.40,3.60E-19
30058.50,3.57E-19
30058.60,3.44E-19
30058.70,3.32E-19
30058.80,3.81E-19
30058.90,4.19E-19
30059.00,4.08E-19
30059.10,4.18E-19
30059.20,4.73E-19
30059.30,5.82E-19
30059.40,6.86E-19
30059.50,7.06E-19
30059.60,7.02E-19
30059.70,7.12E-19
30059.80,6.97E-19
30059.90,6.67E-19
30060.00,6.34E-19
30060.10,5.66E-19
30060.20,4.78E-19
30060.30,4.02E-19
30060.40,3.13E-19
30060.50,2.50E-19
30060.60,2.24E-19
30060.70,2.13E-19
30060.80,1.95E-19
30060.90,1.83E-19
30061.00,1.80E-19
30061.10,1.62E-19
30061.20,1.40E-19
30061.30,1.32E-19
30061.40,1.44E-19
30061.50,1.72E-19
30061.60,1.95E-19
30061.70,1.99E-19
30061.80,2.07E-19
30061.90,2.07E-19
30062.00,2.12E-19
30062.10,1.90E-19
30062.20,1.75E-19
30062.30,1.92E-19
30062.40,1.83E-19
30062.50,2.01E-19
30062.60,3.04E-19
30062.70,3.87E-19
30062.80,4.12E-19
30062.90,5.28E-19
30063.00,7.05E-19
30063.10,7.76E-19
30063.20,8.60E-19
30063.30,9.44E-19
30063.40,9.61E-19
30063.50,9.24E-19
30063.60,9.42E-19
30063.70,9.12E-19
30063.80,7.87E-19
30063.90,7.12E-19
30064.00,6.76E-19
30064.10,6.26E-19
30064.20,5.68E-19
30064.30,5.41E-19
30064.40,5.05E-19
30064.50,4.61E-19
30064.60,4.68E-19
30064.70,5.63E-19
30064.80,6.49E-19
30064.90,7.24E-19
30065.00,8.12E-19
30065.10,8.82E-19
30065.20,9.10E-19
30065.30,9.34E-19
30065.40,9.26E-19
30065.50,9.57E-19
30065.60,1.01E-18
30065.70,9.90E-19
30065.80,9.80E-19
30065.90,9.93E-19
30066.00,1.00E-18
30066.10,1.03E-18
30066.20,1.10E-18
30066.30,1.17E-18
30066.40,1.24E-18
30066.50,1.31E-18
30066.60,1.42E-18
30066.70,1.49E-18
30066.80,1.46E-18
30066.90,1.43E-18
30067.00,1.43E-18
30067.10,1.31E-18
30067.20,1.25E-18
30067.30,1.27E-18
30067.40,1.29E-18
30067.50,1.28E-18
30067.60,1.24E-18
30067.70,1.21E-18
30067.80,1.21E-18
30067.90,1.21E-18
30068.00,1.17E-18
30068.10,1.13E-18
30068.20,1.12E-18
30068.30,1.04E-18
30068.40,9.48E-19
30068.50,9.14E-19
30068.60,8.74E-19
30068.70,8.06E-19
30068.80,7.22E-19
30068.90,6.25E-19
30069.00,5.51E-19
30069.10,4.86E-19
30069.20,4.18E-19
30069.30,3.45E-19
30069.40,2.87E-19
30069.50,2.55E-19
30069.60,2.31E-19
30069.70,1.89E-19
30069.80,1.56E-19
30069.90,1.49E-19
30070.00,1.41E-19
30070.10,1.10E-19
30070.20,9.85E-20
30070.30,9.95E-20
30070.40,9.80E-20
30070.50,1.12E-19
30070.60,1.21E-19
30070.70,1.07E-19
30070.80,8.98E-20
30070.90,8.22E-20
30071.00,8.91E-20
30071.10,1.00E-19
30071.20,9.38E-20
30071.30,8.39E-20
30071.40,8.51E-20
30071.50,8.53E-20
30071.60,7.13E-20
30071.70,6.07E-20
30071.80,6.93E-20
30071.90,7.06E-20
30072.00,6.13E-20
30072.10,5.15E-20
30072.20,3.78E-20
30072.30,3.38E-20
30072.40,4.13E-20
30072.50,4.64E-20
30072.60,4.43E-20
30072.70,4.58E-20
30072.80,5.54E-20
30072.90,5.64E-20
30073.00,4.62E-20
30073.10,3.74E-20
30073.20,3.32E-20
30073.30,3.19E-20
30073.40,2.82E-20
30073.50,2.72E-20
30073.60,2.76E-20
30073.70,3.30E-20
30073.80,3.57E-20
30073.90,3.33E-20
30074.00,3.20E-20
30074.10,3.44E-20
30074.20,3.19E-20
30074.30,2.90E-20
30074.40,3.05E-20
30074.50,3.32E-20
30074.60,3.64E-20
30074.70,4.09E-20
30074.80,3.80E-20
30074.90,3.38E-20
30075.00,3.09E-20
30075.10,2.99E-20
30075.20,2.81E-20
30075.30,3.00E-20
30075.40,3.89E-20
30075.50,4.60E-20
30075.60,4.09E-20
30075.70,3.26E-20
30075.80,2.82E-20
30075.90,2.93E-20
30076.00,3.30E-20
30076.10,3.18E-20
30076.20,2.94E-20
30076.30,2.48E-20
30076.40,2.24E-20
30076.50,2.22E-20
30076.60,2.21E-20
30076.70,2.52E-20
30076.80,2.75E-20
30076.90,2.50E-20
30077.00,2.32E-20
30077.10,2.05E-20
30077.20,1.90E-20
30077.30,1.99E-20
30077.40,2.21E-20
30077.50,2.50E-20
30077.60,2.57E-20
30077.70,2.80E-20
30077.80,3.30E-20
30077.90,3.54E-20
30078.00,3.23E-20
30078.10,3.01E-20
30078.20,2.63E-20
30078.30,2.09E-20
30078.40,1.87E-20
30078.50,1.99E-20
30078.60,2.28E-20
30078.70,2.24E-20
30078.80,2.08E-20
30078.90,2.62E-20
30079.00,2.83E-20
30079.10,2.31E-20
30079.20,1.79E-20
30079.30,1.62E-20
30079.40,1.64E-20
30079.50,1.90E-20
30079.60,2.22E-20
30079.70,2.37E-20
30079.80,2.36E-20
30079.90,2.17E-20
30080.00,1.73E-20
30080.10,1.56E-20
30080.20,1.65E-20
30080.30,1.66E-20
30080.40,1.94E-20
30080.50,2.28E-20
30080.60,2.44E-20
30080.70,2.20E-20
30080.80,2.14E-20
30080.90,2.16E-20
30081.00,1.89E-20
30081.10,1.85E-20
30081.20,1.86E-20
30081.30,1.71E-20
30081.40,1.74E-20
30081.50,1.99E-20
30081.60,2.07E-20
30081.70,1.93E-20
30081.80,1.87E-20
30081.90,1.95E-20
30082.00,1.92E-20
30082.10,1.99E-20
30082.20,2.15E-20
30082.30,2.36E-20
30082.40,2.52E-20
30082.50,2.29E-20
30082.60,1.93E-20
30082.70,1.57E-20
30082.80,1.47E-20
30082.90,2.03E-20
30083.00,2.36E-20
30083.10,2.24E-20
30083.20,2.31E-20
30083.30,2.29E-20
30083.40,2.09E-20
30083.50,1.94E-20
30083.60,1.91E-20
30083.70,1.93E-20
30083.80,2.08E-20
30083.90,2.14E-20
30084.00,1.99E-20
30084.10,2.02E-20
30084.20,2.17E-20
30084.30,2.53E-20
30084.40,2.75E-20
30084.50,2.64E-20
30084.60,2.24E-20
30084.70,1.64E-20
30084.80,1.36E-20
30084.90,1.58E-20
30085.00,1.99E-20
30085.10,2.08E-20
30085.20,1.69E-20
30085.30,1.45E-20
30085.40,1.63E-20
30085.50,1.81E-20
30085.60,1.77E-20
30085.70,1.71E-20
30085.80,1.81E-20
30085.90,2.03E-20
30086.00,1.91E-20
30086.10,1.59E-20
30086.20,1.53E-20
30086.30,1.51E-20
30086.40,1.36E-20
30086.50,1.27E-20
30086.60,1.44E-20
30086.70,1.70E-20
30086.80,1.89E-20
30086.90,1.77E-20
30087.00,1.54E-20
30087.10,1.62E-20
30087.20,1.85E-20
30087.30,1.83E-20
30087.40,1.64E-20
30087.50,1.36E-20
30087.60,1.44E-20
30087.70,1.74E-20
30087.80,1.92E-20
30087.90,1.91E-20
30088.00,1.73E-20
30088.10,1.74E-20
30088.20,1.74E-20
30088.30,1.67E-20
30088.40,1.70E-20
30088.50,1.60E-20
30088.60,1.50E-20
30088.70,1.49E-20
30088.80,1.42E-20
30088.90,1.50E-20
30089.00,1.64E-20
30089.10,1.58E-20
30089.20,1.48E-20
30089.30,1.41E-20
30089.40,1.47E-20
30089.50,1.75E-20
30089.60,1.86E-20
30089.70,1.94E-20
30089.80,1.86E-20
30089.90,1.50E-20
30090.00,1.26E-20
30090.10,1.56E-20
30090.20,1.97E-20
30090.30,2.01E-20
30090.40,1.86E-20
30090.50,1.65E-20
30090.60,1.66E-20
30090.70,1.76E-20
30090.80,1.56E-20
30090.90,1.35E-20
30091.00,1.46E-20
30091.10,1.70E-20
30091.20,1.50E-20
30091.30,1.30E-20
30091.40,1.48E-20
30091.50,1.78E-20
30091.60,1.88E-20
30091.70,1.76E-20
30091.80,1.76E-20
30091.90,1.73E-20
30092.00,1.68E-20
30092.10,1.98E-20
30092.20,2.01E-20
30092.30,1.92E-20
30092.40,2.07E-20
30092.50,2.02E-20
30092.60,1.67E-20
