wavenumber,cross_sec
30076.5,1.19E-43
30076.6,1.06E-43
30076.7,2.89E-40
30076.8,2.04E-37
30076.9,3.77E-35
30077,1.86E-33
30077.1,2.52E-32
30077.2,9.67E-32
30077.3,1.12E-31
30077.4,1.41E-31
30077.5,1.10E-30
30077.6,3.21E-28
30077.7,2.38E-25
30077.8,4.77E-23
30077.9,2.55E-21
30078,3.73E-20
30078.1,1.54E-19
30078.2,1.84E-19
30078.3,6.41E-20
30078.4,6.34E-21
30078.5,1.74E-22
30078.6,1.28E-24
30078.7,2.64E-27
30078.8,2.20E-28
30078.9,1.04E-28
30079,1.51E-29
30079.1,7.19E-30
30079.2,3.11E-29
30079.3,3.92E-27
30079.4,1.48E-24
30079.5,1.50E-22
30079.6,4.09E-21
30079.7,3.10E-20
30079.8,6.75E-20
30079.9,4.26E-20
30080,7.76E-21
30080.1,3.96E-22
30080.2,5.50E-24
30080.3,2.03E-26
30080.4,1.95E-29
30080.5,1.71E-32
30080.6,7.18E-31
30080.7,1.15E-29
30080.8,5.20E-29
30080.9,6.78E-29
30081,2.57E-29
30081.1,2.78E-30
30081.2,8.31E-32
30081.3,8.59E-34
30081.4,2.80E-32
30081.5,1.46E-30
30081.6,5.02E-28
30081.7,1.73E-25
30081.8,1.61E-23
30081.9,4.04E-22
30082,2.84E-21
30082.1,5.71E-21
30082.2,3.34E-21
30082.3,5.63E-22
30082.4,2.65E-23
30082.5,3.40E-25
30082.6,2.11E-25
30082.7,1.31E-23
30082.8,2.21E-22
30082.9,1.06E-21
30083,1.45E-21
30083.1,5.81E-22
30083.2,6.64E-23
30083.3,2.10E-24
30083.4,1.80E-26
30083.5,1.30E-28
30083.6,6.85E-29
30083.7,1.52E-29
30083.8,9.50E-31
30083.9,2.83E-32
30084,1.57E-32
30084.1,5.80E-33
30084.2,6.16E-34
30084.3,1.81E-35
30084.4,1.43E-37
30084.5,3.21E-40
30084.6,2.22E-38
30084.7,5.26E-36
30084.8,3.32E-34
30084.9,5.73E-33
30085,2.79E-32
30085.1,3.94E-32
30085.2,2.56E-32
30085.3,2.27E-29
30085.4,1.42E-26
30085.5,2.34E-24
30085.6,1.03E-22
30085.7,1.25E-21
30085.8,4.29E-21
30085.9,4.27E-21
30086,1.23E-21
30086.1,1.01E-22
30086.2,2.03E-23
30086.3,8.75E-22
30086.4,1.17E-20
30086.5,4.59E-20
30086.6,5.60E-20
30086.7,2.34E-20
30086.8,3.66E-21
30086.9,5.77E-22
30087,8.35E-21
30087.1,5.31E-20
30087.2,9.71E-20
30087.3,5.16E-20
30087.4,7.87E-21
30087.5,3.35E-22
30087.6,3.87E-24
30087.7,1.18E-26
30087.8,9.41E-30
30087.9,1.93E-33
30088,0
30088.1,0
30088.2,0
30088.3,0
30088.4,0
30088.5,0
30088.6,0
30088.7,0
30088.8,0
30088.9,0
30089,0
30089.1,0
30089.2,0
30089.3,0
30089.4,0
30089.5,0
30089.6,0
30089.7,0
30089.8,0
30089.9,0
30090,0
30090.1,0
30090.2,0
30090.3,8.39E-45
30090.4,4.54E-41
30090.5,6.31E-38
30090.6,2.28E-35
30090.7,2.18E-33
30090.8,5.62E-32
30090.9,4.05E-31
30091,8.57E-31
30091.1,9.04E-31
30091.2,2.17E-30
30091.3,3.97E-30
30091.4,5.22E-28
30091.5,1.80E-25
30091.6,1.72E-23
30091.7,4.46E-22
30091.8,3.21E-21
30091.9,6.64E-21
30092,3.99E-21
30092.1,6.89E-22
30092.2,3.34E-23
30092.3,4.39E-25
30092.4,1.53E-27
30092.5,1.39E-30
30092.6,3.26E-34
30092.7,0
30092.8,1.58E-33
30092.9,6.32E-30
30093,6.51E-27
30093.1,1.75E-24
30093.2,1.25E-22
30093.3,2.42E-21
30093.4,1.32E-20
30093.5,2.07E-20
30093.6,9.41E-21
30093.7,1.23E-21
30093.8,4.46E-23
30093.9,4.37E-25
30094,1.13E-27
30094.1,7.67E-31
30094.2,3.20E-33
30094.3,4.53E-33
30094.4,9.82E-33
30094.5,8.40E-33
30094.6,2.12E-33
30094.7,1.51E-34
30094.8,2.94E-36
30094.9,1.54E-38
30095,2.09E-41
30095.1,7.38E-45
30095.2,0
30095.3,0
30095.4,0
30095.5,0
30095.6,0
30095.7,1.66E-45
30095.8,1.02E-41
30095.9,1.65E-38
30096,6.95E-36
30096.1,7.85E-34
30096.2,2.44E-32
30096.3,2.15E-31
30096.4,5.57E-31
30096.5,4.33E-31
30096.6,1.01E-31
30096.7,6.99E-33
30096.8,1.12E-32
30096.9,2.37E-31
30097,1.43E-30
30097.1,2.47E-30
30097.2,1.24E-30
30097.3,1.80E-31
30097.4,7.23E-33
30097.5,7.88E-35
30097.6,2.86E-37
30097.7,1.25E-35
30097.8,7.13E-34
30097.9,1.11E-32
