wavenumber,cross_sec
30069.90,3.23E-20
30070.00,2.66E-20
30070.10,1.89E-20
30070.20,1.42E-20
30070.30,1.59E-20
30070.40,1.44E-20
30070.50,9.87E-21
30070.60,7.80E-21
30070.70,1.09E-20
30070.80,1.39E-20
30070.90,1.22E-20
30071.00,1.22E-20
30071.10,1.20E-20
30071.20,7.29E-21
30071.30,3.69E-21
30071.40,3.63E-21
30071.50,4.31E-21
30071.60,6.62E-21
30071.70,9.60E-21
30071.80,9.91E-21
30071.90,1.13E-20
30072.00,1.50E-20
30072.10,1.45E-20
30072.20,1.14E-20
30072.30,8.76E-21
30072.40,4.28E-21
30072.50,3.09E-21
30072.60,7.33E-21
30072.70,1.42E-20
30072.80,1.39E-20
30072.90,8.81E-21
30073.00,6.31E-21
30073.10,5.35E-21
30073.20,3.99E-21
30073.30,2.98E-21
30073.40,4.01E-21
30073.50,4.33E-21
30073.60,2.76E-21
30073.70,2.04E-21
30073.80,1.79E-21
30073.90,1.90E-21
30074.00,2.71E-21
30074.10,2.92E-21
30074.20,2.94E-21
30074.30,3.57E-21
30074.40,3.98E-21
30074.50,3.96E-21
30074.60,4.33E-21
30074.70,6.51E-21
30074.80,6.73E-21
30074.90,4.46E-21
30075.00,3.40E-21
30075.10,3.76E-21
30075.20,4.22E-21
30075.30,3.67E-21
30075.40,3.16E-21
30075.50,3.00E-21
30075.60,2.83E-21
30075.70,2.76E-21
30075.80,3.23E-21
30075.90,3.43E-21
30076.00,3.70E-21
30076.10,3.47E-21
30076.20,3.70E-21
30076.30,4.59E-21
30076.40,4.75E-21
30076.50,3.12E-21
30076.60,2.17E-21
30076.70,2.63E-21
30076.80,2.96E-21
30076.90,3.74E-21
30077.00,5.50E-21
30077.10,5.70E-21
30077.20,4.50E-21
30077.30,3.62E-21
30077.40,2.56E-21
30077.50,2.17E-21
30077.60,2.54E-21
30077.70,2.70E-21
30077.80,2.87E-21
30077.90,2.90E-21
30078.00,2.01E-21
30078.10,1.84E-21
30078.20,2.56E-21
30078.30,2.77E-21
30078.40,2.53E-21
30078.50,2.64E-21
30078.60,2.49E-21
30078.70,2.04E-21
30078.80,2.12E-21
30078.90,2.17E-21
30079.00,1.73E-21
30079.10,2.49E-21
30079.20,3.69E-21
30079.30,2.85E-21
30079.40,1.87E-21
30079.50,1.89E-21
30079.60,2.44E-21
30079.70,3.98E-21
30079.80,4.09E-21
30079.90,2.62E-21
30080.00,1.95E-21
30080.10,2.23E-21
30080.20,3.11E-21
30080.30,3.73E-21
30080.40,3.18E-21
30080.50,3.55E-21
30080.60,3.87E-21
30080.70,3.24E-21
30080.80,2.99E-21
30080.90,2.48E-21
30081.00,2.14E-21
30081.10,2.66E-21
30081.20,3.50E-21
30081.30,3.60E-21
30081.40,2.92E-21
30081.50,2.83E-21
30081.60,2.89E-21
30081.70,2.06E-21
30081.80,1.44E-21
30081.90,1.23E-21
30082.00,1.28E-21
30082.10,1.43E-21
30082.20,1.67E-21
30082.30,1.91E-21
30082.40,1.66E-21
30082.50,1.83E-21
30082.60,2.59E-21
30082.70,2.64E-21
30082.80,2.14E-21
30082.90,1.78E-21
30083.00,1.83E-21
30083.10,2.38E-21
30083.20,2.75E-21
30083.30,2.34E-21
30083.40,2.43E-21
30083.50,2.86E-21
30083.60,2.71E-21
30083.70,2.49E-21
30083.80,2.27E-21
30083.90,2.67E-21
30084.00,3.35E-21
30084.10,3.38E-21
30084.20,3.18E-21
30084.30,2.86E-21
30084.40,2.81E-21
30084.50,3.32E-21
30084.60,3.25E-21
30084.70,2.41E-21
30084.80,1.68E-21
30084.90,1.15E-21
30085.00,9.76E-22
30085.10,1.19E-21
30085.20,1.63E-21
30085.30,1.61E-21
30085.40,1.15E-21
30085.50,9.58E-22
30085.60,1.40E-21
30085.70,2.24E-21
30085.80,2.36E-21
30085.90,2.26E-21
30086.00,2.39E-21
30086.10,2.55E-21
30086.20,2.23E-21
30086.30,2.14E-21
30086.40,2.59E-21
30086.50,2.67E-21
30086.60,2.82E-21
30086.70,2.91E-21
30086.80,2.55E-21
30086.90,2.13E-21
30087.00,1.63E-21
30087.10,1.61E-21
30087.20,2.24E-21
30087.30,2.29E-21
30087.40,2.07E-21
30087.50,2.45E-21
30087.60,2.29E-21
30087.70,1.92E-21
