r,1,2,3,4,5,6,7,8,9
1.49555556,-180.7882304,162.9886049,-164.6602447,-195.182608,-96.97566816,12.51004385,-209.6767434,96.97566441,12.82885789
1.50016667,-180.6316318,161.9144772,-164.0980856,-195.7143081,-97.19475005,12.8790555,-210.2873556,97.19474524,13.39318992
1.50477778,-180.4811292,160.8478516,-163.5380389,-196.2334244,-97.41044697,13.25096133,-210.8820967,97.41044502,13.9627855
1.50938889,-180.3366085,159.7887352,-162.9801007,-196.7399336,-97.62270127,13.6257396,-211.4610385,97.62270585,14.53524337
1.514,-180.1979551,158.7371338,-162.4242669,-197.2338349,-97.83111801,14.00335121,-212.0239703,97.83111825,15.1091036
1.51861111,-180.0650538,157.6930526,-161.8705333,-197.7150134,-98.0377296,14.38394876,-212.5719998,98.03773284,15.69180265
1.52322222,-179.9377895,156.6564959,-161.3188956,-198.1839528,-98.23400185,14.76683092,-213.1007247,98.23400643,16.29248004
1.52783333,-179.8160465,155.6274669,-160.7693496,-198.6384943,-98.46049138,15.15527412,-213.631313,98.46048746,16.90381798
1.53244444,-179.699709,154.6059681,-160.2218908,-199.0810657,-98.67668208,15.54601657,-214.1428757,98.67668195,17.50945337
1.53705556,-179.5886609,153.5920014,-159.6765149,-199.512734,-98.86256179,15.93742738,-214.6249849,98.86256799,18.10689599
1.54166667,-179.4827884,152.5855674,-159.1332172,-199.9315319,-99.05198621,16.33222432,-215.0951775,99.05198915,18.70648806
1.54627778,-179.3819792,151.5866661,-158.5919932,-200.3380678,-99.23621166,16.7297055,-215.5490082,99.23621344,19.31364931
1.55088889,-179.2861212,150.5952967,-158.0528383,-200.732308,-99.41766399,17.13006696,-215.9878006,99.41766007,19.92602461
1.5555,-179.1951021,149.6114575,-157.5157477,-201.1143615,-99.59577299,17.533268,-216.4113397,99.59576713,20.54169387
1.56011111,-179.1088097,148.6351461,-156.9807166,-201.4843273,-99.77072298,17.93932802,-216.819797,99.77071794,21.16110099
1.56472222,-179.0271316,147.6663591,-156.4477403,-201.8423542,-99.94253134,18.3482533,-217.2132641,99.94253158,21.78483916
1.56933333,-178.9499556,146.7050924,-155.9168138,-202.1885378,-100.1112569,18.76005289,-217.5918517,100.1112605,22.4128388
1.57394444,-178.8771694,145.7513412,-155.3879322,-202.523018,-100.2769559,19.1747382,-217.95567,100.2769561,23.04490467
1.57855556,-178.8086609,144.8050997,-154.8610905,-202.845938,-100.439675,19.59232077,-218.3048327,100.4396695,23.68101795
1.58316667,-178.7443183,143.8663615,-154.3362836,-203.1574348,-100.599462,20.0128121,-218.6394562,100.5994549,24.32122371
1.58777778,-178.6840295,142.9351194,-153.8135064,-203.4576555,-100.7563715,20.43622379,-218.9596582,100.756367,24.96552683
1.59238889,-178.6276834,142.0113654,-153.2927539,-203.7467528,-100.9104625,20.86256747,-219.2655566,100.9104615,25.6139081
1.597,-178.5751701,141.0950907,-152.7740206,-204.0248828,-101.0617934,21.29185504,-219.5572714,101.0617951,26.26635789
1.60161111,-178.5263804,140.1862858,-152.2573015,-204.2922048,-101.2104221,21.72409856,-219.8349242,101.2104257,26.92287609
1.60622222,-178.4812052,139.2849405,-151.7425912,-204.5488801,-101.3564062,22.15930895,-220.098636,101.3564111,27.58346119
1.61083333,-178.4395359,138.3910437,-151.2298843,-204.7950726,-101.4998034,22.59749535,-220.3485261,101.4998088,28.24810906
1.61544444,-178.4012641,137.5045838,-150.7191755,-205.0309466,-101.6406713,23.03866675,-220.5847136,101.6406764,28.91681561
1.62005556,-178.366282,136.6255484,-150.2104593,-205.2566664,-101.7790675,23.48283218,-220.807318,101.7790716,29.58957738
1.62466667,-178.334482,135.7539244,-149.7037303,-205.472397,-101.9150495,23.93000003,-221.0164589,101.9150517,30.26639069
1.62927778,-178.3057571,134.8896978,-149.1989829,-205.6783058,-102.0486742,24.38017649,-221.2122581,102.0486744,30.94725067
1.63388889,-178.2800007,134.0328541,-148.6962116,-205.8745611,-102.1799985,24.83336717,-221.3948376,102.1799969,31.63215179
1.6385,-178.2571068,133.1833783,-148.1954108,-206.0613311,-102.3090793,25.28957771,-221.5643195,102.3090768,32.32108612
1.64311111,-178.2369698,132.3412542,-147.6965749,-206.2387835,-102.4359731,25.74881305,-221.7208249,102.4359711,33.01404472
1.64772222,-178.2194853,131.5064654,-147.1996981,-206.4070793,-102.5607329,26.2110705,-221.864462,102.5607327,33.71101811
1.65233333,-178.2045493,130.6789946,-146.7047748,-206.5663758,-102.6834097,26.67634253,-221.9953311,102.683412,34.41199628
1.65694444,-178.1920587,129.858824,-146.2117993,-206.7168302,-102.8040545,27.14462153,-222.1135322,102.8040593,35.11696478
1.66155556,-178.181911,129.045935,-145.7207658,-206.8585995,-102.9227182,27.61590001,-222.2191656,102.9227249,35.82590493
