r,1,2,3
1.41716667,-184.4946022,182.3855729,-174.5436416
1.42177778,-184.2167104,181.185841,-173.9450393
1.42638889,-183.9469055,179.9933539,-173.3486041
1.431,-183.6850473,178.8081344,-172.7543337
1.43561111,-183.4310093,177.6302042,-172.1622255
1.44022222,-183.1846791,176.4595843,-171.5722769
1.44483333,-182.9459444,175.2962943,-170.9844852
1.44944444,-182.7146918,174.1403532,-170.3988475
1.45405556,-182.4908073,172.9917789,-169.8153609
1.45866667,-182.2741758,171.8505884,-169.2340223
1.46327778,-182.0646817,170.7167976,-168.6548285
1.46788889,-181.8622084,169.5904217,-168.0777764
1.4725,-181.6666386,168.4714747,-167.5028625
1.47711111,-181.4778546,167.35997,-166.9300836
1.48172222,-181.2957378,166.2559197,-166.359436
1.48633333,-181.1201704,165.1593353,-165.7909161
1.49094444,-180.9510388,164.0702272,-165.2245203
1.49555556,-180.7882304,162.9886049,-164.6602447
1.50016667,-180.6316318,161.9144772,-164.0980856
1.50477778,-180.4811292,160.8478516,-163.5380389
1.50938889,-180.3366085,159.7887352,-162.9801007
1.514,-180.1979551,158.7371338,-162.4242669
1.51861111,-180.0650538,157.6930526,-161.8705333
1.52322222,-179.9377895,156.6564959,-161.3188956
1.52783333,-179.8160465,155.6274669,-160.7693496
1.53244444,-179.699709,154.6059681,-160.2218908
1.53705556,-179.5886609,153.5920014,-159.6765149
1.54166667,-179.4827884,152.5855674,-159.1332172
1.54627778,-179.3819792,151.5866661,-158.5919932
1.55088889,-179.2861212,150.5952967,-158.0528383
1.5555,-179.1951021,149.6114575,-157.5157477
1.56011111,-179.1088097,148.6351461,-156.9807166
1.56472222,-179.0271316,147.6663591,-156.4477403
1.56933333,-178.9499556,146.7050924,-155.9168138
1.57394444,-178.8771694,145.7513412,-155.3879322
1.57855556,-178.8086609,144.8050997,-154.8610905
1.58316667,-178.7443183,143.8663615,-154.3362836
1.58777778,-178.6840295,142.9351194,-153.8135064
1.59238889,-178.6276834,142.0113654,-153.2927539
1.597,-178.5751701,141.0950907,-152.7740206
1.60161111,-178.5263804,140.1862858,-152.2573015
1.60622222,-178.4812052,139.2849405,-151.7425912
1.61083333,-178.4395359,138.3910437,-151.2298843
1.61544444,-178.4012641,137.5045838,-150.7191755
1.62005556,-178.366282,136.6255484,-150.2104593
1.62466667,-178.334482,135.7539244,-149.7037303
1.62927778,-178.3057571,134.8896978,-149.1989829
1.63388889,-178.2800007,134.0328541,-148.6962116
1.6385,-178.2571068,133.1833783,-148.1954108
1.64311111,-178.2369698,132.3412542,-147.6965749
1.64772222,-178.2194853,131.5064654,-147.1996981
1.65233333,-178.2045493,130.6789946,-146.7047748
1.65694444,-178.1920587,129.858824,-146.2117993
1.66155556,-178.181911,129.045935,-145.7207658
1.66616667,-178.1740044,128.2403085,-145.2316684
1.67077778,-178.1682377,127.4419246,-144.7445015
1.67538889,-178.1645106,126.6507629,-144.259259
1.68,-178.1627234,125.8668024,-143.7759352
1.68461111,-178.1627771,125.0900215,-143.294524
1.68922222,-178.1645737,124.3203978,-142.8150197
1.69383333,-178.1680159,123.5579087,-142.3374161
1.69844444,-178.1730072,122.8025306,-141.8617074
1.70305556,-178.1794522,122.0542396,-141.3878875
1.70766667,-178.1872563,121.3130112,-140.9159503
1.71227778,-178.196326,120.5788203,-140.4458899
