r,1,2,3,4,5,6
1.33877778,3.41E+01,3.17E+04,6.00E+04,5.19E+04,7.97E+04,9.16E+04
1.34338889,1.85E+01,3.16E+04,5.97E+04,5.16E+04,7.93E+04,9.06E+04
1.348,7.73E+00,3.15E+04,5.94E+04,5.13E+04,7.88E+04,8.95E+04
1.35261111,1.61E+00,3.15E+04,5.91E+04,5.10E+04,7.84E+04,8.85E+04
1.35722222,5.44E-02,3.14E+04,5.88E+04,5.08E+04,7.80E+04,8.76E+04
1.36183333,2.96E+00,3.14E+04,5.85E+04,5.05E+04,7.76E+04,8.66E+04
1.36644444,1.02E+01,3.13E+04,5.82E+04,5.02E+04,7.72E+04,8.57E+04
1.37105556,2.17E+01,3.13E+04,5.79E+04,5.00E+04,7.68E+04,8.47E+04
1.37566667,3.74E+01,3.12E+04,5.76E+04,4.97E+04,7.64E+04,8.38E+04
1.38027778,5.71E+01,3.12E+04,5.73E+04,4.95E+04,7.60E+04,8.30E+04
1.38488889,8.08E+01,3.12E+04,5.70E+04,4.92E+04,7.56E+04,8.21E+04
1.3895,1.08E+02,3.12E+04,5.67E+04,4.90E+04,7.52E+04,8.13E+04
1.39411111,1.40E+02,3.11E+04,5.65E+04,4.87E+04,7.47E+04,8.05E+04
1.39872222,1.74E+02,3.11E+04,5.62E+04,4.85E+04,7.43E+04,7.97E+04
1.40333333,2.13E+02,3.11E+04,5.59E+04,4.82E+04,7.39E+04,7.89E+04
1.40794444,2.55E+02,3.11E+04,5.56E+04,4.80E+04,7.35E+04,7.81E+04
1.41255556,3.00E+02,3.11E+04,5.54E+04,4.78E+04,7.31E+04,7.74E+04
1.41716667,3.49E+02,3.10E+04,5.51E+04,4.75E+04,7.27E+04,7.67E+04
1.42177778,4.01E+02,3.10E+04,5.48E+04,4.73E+04,7.23E+04,7.59E+04
1.42638889,4.56E+02,3.10E+04,5.46E+04,4.71E+04,7.19E+04,7.53E+04
1.431,5.14E+02,3.10E+04,5.43E+04,4.69E+04,7.15E+04,7.46E+04
1.43561111,5.75E+02,3.10E+04,5.41E+04,4.67E+04,7.11E+04,7.39E+04
