r,1,2,3,4,5,
0.91557656,4.40E+04,1.70E+05,1.88E+05,1.90E+05,2.24E+05,
0.9159916,4.39E+04,1.70E+05,1.87E+05,1.90E+05,2.24E+05,
0.91640664,4.37E+04,1.70E+05,1.87E+05,1.90E+05,2.24E+05,
0.91682168,4.36E+04,1.70E+05,1.87E+05,1.90E+05,2.24E+05,
0.91723672,4.35E+04,1.70E+05,1.87E+05,1.90E+05,2.24E+05,
0.91765177,4.34E+04,1.70E+05,1.87E+05,1.90E+05,2.24E+05,
0.91806681,4.32E+04,1.69E+05,1.87E+05,1.90E+05,2.23E+05,
0.91848185,4.31E+04,1.69E+05,1.87E+05,1.90E+05,2.23E+05,
0.91889689,4.30E+04,1.69E+05,1.87E+05,1.90E+05,2.23E+05,
0.91931193,4.28E+04,1.69E+05,1.87E+05,1.90E+05,2.23E+05,
0.91972697,4.27E+04,1.69E+05,1.87E+05,1.90E+05,2.23E+05,
0.92014201,4.26E+04,1.69E+05,1.87E+05,1.89E+05,2.23E+05,
0.92055706,4.24E+04,1.69E+05,1.86E+05,1.89E+05,2.23E+05,
0.9209721,4.23E+04,1.69E+05,1.86E+05,1.89E+05,2.23E+05,
0.92138714,4.22E+04,1.69E+05,1.86E+05,1.89E+05,2.23E+05,
0.92180218,4.21E+04,1.69E+05,1.86E+05,1.89E+05,2.23E+05,
0.92221722,4.19E+04,1.69E+05,1.86E+05,1.89E+05,2.22E+05,
0.92263226,4.18E+04,1.68E+05,1.86E+05,1.89E+05,2.22E+05,
0.9230473,4.17E+04,1.68E+05,1.86E+05,1.89E+05,2.22E+05,
0.92346235,4.15E+04,1.68E+05,1.86E+05,1.89E+05,2.22E+05,
0.92387739,4.14E+04,1.68E+05,1.86E+05,1.89E+05,2.22E+05,
0.92429243,4.13E+04,1.68E+05,1.86E+05,1.88E+05,2.22E+05,
0.92470747,4.12E+04,1.68E+05,1.85E+05,1.88E+05,2.22E+05,
