wavenumber,cross_sec
30035.60,6.20E-19
30035.70,1.40E-19
30035.80,1.30E-20
30035.90,4.85E-21
30036.00,3.29E-21
30036.10,1.48E-21
30036.20,1.12E-21
30036.30,2.95E-21
30036.40,4.03E-21
30036.50,3.47E-21
30036.60,3.36E-21
30036.70,2.67E-21
30036.80,3.70E-21
30036.90,6.57E-21
30037.00,1.07E-19
30037.10,1.50E-18
30037.20,6.11E-18
30037.30,7.20E-18
30037.40,2.46E-18
30037.50,2.42E-19
30037.60,7.58E-21
30037.70,1.52E-21
30037.80,1.41E-20
30037.90,2.06E-19
30038.00,9.45E-19
30038.10,1.27E-18
30038.20,5.01E-19
30038.30,5.84E-20
30038.40,3.90E-21
30038.50,1.16E-21
30038.60,5.95E-22
30038.70,5.99E-22
30038.80,8.82E-22
30038.90,1.87E-21
30039.00,2.32E-21
30039.10,1.41E-21
30039.20,1.10E-21
30039.30,1.52E-21
30039.40,2.25E-21
30039.50,1.98E-21
30039.60,1.27E-21
30039.70,1.24E-21
30039.80,1.15E-21
30039.90,1.68E-21
30040.00,1.69E-21
30040.10,9.16E-22
30040.20,5.44E-22
30040.30,4.76E-22
30040.40,2.31E-21
30040.50,5.02E-20
30040.60,4.43E-19
30040.70,1.15E-18
30040.80,8.74E-19
30040.90,1.94E-19
30041.00,1.38E-20
30041.10,2.04E-21
30041.20,1.35E-21
30041.30,1.19E-21
30041.40,1.44E-21
30041.50,2.51E-21
30041.60,1.97E-21
30041.70,9.07E-22
30041.80,8.55E-22
30041.90,1.54E-21
30042.00,1.48E-21
30042.10,7.43E-22
30042.20,4.91E-22
30042.30,4.02E-22
30042.40,4.08E-22
30042.50,6.56E-22
30042.60,1.21E-21
30042.70,1.79E-21
30042.80,2.64E-21
30042.90,2.77E-21
30043.00,2.53E-21
30043.10,2.44E-21
30043.20,1.91E-21
30043.30,1.08E-21
30043.40,1.74E-21
30043.50,2.82E-21
30043.60,1.91E-21
30043.70,6.36E-22
30043.80,5.33E-22
30043.90,1.15E-21
30044.00,1.64E-21
30044.10,2.24E-21
30044.20,2.57E-21
30044.30,1.62E-21
30044.40,7.30E-22
30044.50,3.36E-22
30044.60,9.14E-22
30044.70,3.78E-21
30044.80,1.09E-20
30044.90,1.66E-20
30045.00,1.30E-20
30045.10,9.68E-21
30045.20,6.55E-21
30045.30,2.45E-21
30045.40,1.65E-21
30045.50,3.85E-21
30045.60,5.61E-21
30045.70,6.27E-21
30045.80,5.04E-21
30045.90,2.72E-21
30046.00,2.38E-21
30046.10,5.00E-21
30046.20,5.36E-21
30046.30,3.32E-21
30046.40,3.09E-21
30046.50,3.55E-21
30046.60,2.94E-21
30046.70,2.09E-21
30046.80,1.59E-21
30046.90,1.25E-21
30047.00,1.15E-21
30047.10,7.71E-22
30047.20,4.49E-22
30047.30,6.63E-22
30047.40,1.31E-21
30047.50,2.09E-21
30047.60,3.47E-21
30047.70,5.18E-21
30047.80,4.73E-21
30047.90,7.48E-21
30048.00,1.29E-20
30048.10,1.27E-20
30048.20,8.04E-21
30048.30,3.04E-21
30048.40,2.40E-21
30048.50,3.43E-21
30048.60,2.63E-21
30048.70,3.22E-21
30048.80,3.87E-21
30048.90,1.85E-20
30049.00,2.44E-19
30049.10,1.06E-18
30049.20,1.35E-18
30049.30,5.06E-19
30049.40,5.63E-20
30049.50,5.18E-21
30049.60,6.86E-21
30049.70,1.05E-20
30049.80,1.03E-20
30049.90,7.71E-21
30050.00,7.98E-21
30050.10,1.04E-20
30050.20,1.12E-20
30050.30,1.03E-20
30050.40,7.14E-21
30050.50,4.03E-21
30050.60,1.82E-21
30050.70,2.11E-21
30050.80,2.40E-21
30050.90,1.16E-21
30051.00,1.16E-21
30051.10,2.45E-21
30051.20,4.76E-21
30051.30,6.03E-20
30051.40,4.79E-19
30051.50,1.13E-18
30051.60,7.83E-19
30051.70,1.60E-19
30051.80,1.35E-20
30051.90,6.07E-21
30052.00,6.13E-21
30052.10,5.95E-21
30052.20,5.92E-21
30052.30,4.43E-21
30052.40,2.25E-21
30052.50,1.59E-21
30052.60,1.25E-21
30052.70,1.68E-21
30052.80,4.49E-21
30052.90,5.65E-21
30053.00,2.62E-21
30053.10,1.15E-21
30053.20,1.08E-21
30053.30,2.04E-21
30053.40,7.01E-21
30053.50,1.22E-20
30053.60,1.15E-20
30053.70,6.49E-21
30053.80,3.17E-21
30053.90,5.70E-21
30054.00,1.42E-19
30054.10,1.84E-18
30054.20,6.86E-18
30054.30,7.50E-18
30054.40,3.42E-18
30054.50,5.43E-18
30054.60,7.29E-18
30054.70,2.95E-18
30054.80,3.46E-19
30054.90,1.96E-20
30055.00,8.61E-21
30055.10,3.70E-21
30055.20,2.28E-21
30055.30,2.91E-21
30055.40,2.46E-21
30055.50,1.80E-21
30055.60,1.31E-21
30055.70,1.53E-21
30055.80,3.79E-21
30055.90,6.20E-21
30056.00,7.32E-21
30056.10,9.66E-21
30056.20,1.16E-20
30056.30,8.30E-21
30056.40,4.70E-21
30056.50,3.15E-21
30056.60,3.60E-21
30056.70,5.46E-21
30056.80,4.50E-21
30056.90,3.11E-21
30057.00,3.69E-21
30057.10,5.51E-21
30057.20,7.28E-21
30057.30,9.29E-21
30057.40,1.06E-19
30057.50,7.28E-19
30057.60,1.47E-18
30057.70,8.69E-19
30057.80,1.52E-19
30057.90,1.23E-20
30058.00,5.60E-21
30058.10,4.65E-21
30058.20,3.46E-21
30058.30,3.12E-21
30058.40,4.21E-21
30058.50,3.65E-21
30058.60,3.33E-21
30058.70,4.69E-21
30058.80,5.66E-21
30058.90,5.57E-21
30059.00,4.72E-21
30059.10,5.89E-21
30059.20,8.95E-21
30059.30,2.31E-20
30059.40,4.61E-19
30059.50,3.93E-18
30059.60,9.75E-18
30059.70,7.11E-18
30059.80,1.53E-18
30059.90,9.92E-20
30060.00,6.23E-21
30060.10,3.59E-21
30060.20,4.91E-21
30060.30,8.90E-21
30060.40,7.85E-21
30060.50,4.46E-21
30060.60,5.48E-21
30060.70,5.62E-21
30060.80,4.58E-21
30060.90,3.61E-21
30061.00,2.33E-21
30061.10,3.49E-21
30061.20,5.75E-21
30061.30,5.92E-21
30061.40,5.82E-21
30061.50,6.10E-21
30061.60,6.88E-21
30061.70,4.99E-21
30061.80,2.64E-21
30061.90,1.78E-21
30062.00,1.71E-21
30062.10,3.19E-21
30062.20,9.38E-21
30062.30,1.40E-20
30062.40,8.66E-21
30062.50,2.94E-21
30062.60,1.22E-21
30062.70,1.51E-21
30062.80,2.22E-21
30062.90,3.49E-21
30063.00,7.17E-21
30063.10,8.42E-21
30063.20,3.19E-20
30063.30,3.39E-19
30063.40,1.21E-18
30063.50,1.27E-18
30063.60,3.91E-19
30063.70,3.62E-20
30063.80,3.52E-21
30063.90,6.85E-21
30064.00,1.83E-20
30064.10,5.43E-20
30064.20,7.47E-20
30064.30,3.80E-20
30064.40,8.67E-21
30064.50,1.35E-21
30064.60,5.63E-22
30064.70,1.73E-21
30064.80,4.50E-21
30064.90,1.05E-20
30065.00,1.06E-19
30065.10,5.65E-19
30065.20,8.96E-19
30065.30,4.17E-19
30065.40,5.85E-20
30065.50,5.33E-21
30065.60,4.61E-21
30065.70,1.42E-20
30065.80,1.06E-19
30065.90,4.81E-19
30066.00,6.77E-19
30066.10,2.81E-19
30066.20,3.62E-20
30066.30,4.64E-21
30066.40,5.65E-21
30066.50,2.49E-20
30066.60,2.78E-19
30066.70,1.17E-18
30066.80,1.44E-18
30066.90,5.24E-19
30067.00,5.87E-20
30067.10,6.91E-21
30067.20,5.97E-21
30067.30,1.02E-20
30067.40,1.06E-19
30067.50,6.20E-19
30067.60,1.08E-18
30067.70,5.52E-19
30067.80,8.44E-20
30067.90,1.27E-20
30068.00,8.68E-20
30068.10,4.40E-19
30068.20,6.97E-19
30068.30,3.27E-19
30068.40,4.96E-20
30068.50,4.61E-20
30068.60,2.52E-19
30068.70,4.70E-19
30068.80,2.63E-19
