r,1,2,3
2.8835,28582.4178,39644.2682,40379.6914
2.88811,28604.5934,39647.6001,40374.7433
2.89272,28626.5271,39650.8822,40369.8502
2.89733,28648.2214,39654.1154,40365.0115
2.90194,28669.6786,39657.3003,40360.2263
2.90656,28690.9013,39660.4376,40355.4941
2.91117,28711.8919,39663.528,40350.8141
2.91578,28732.6528,39666.5721,40346.1857
2.92039,28753.1863,39669.5706,40341.6083
2.925,28773.4949,39672.5242,40337.0812
2.92961,28793.5809,39675.4335,40332.6038
2.93422,28813.4465,39678.2991,40328.1754
2.93883,28833.0942,39681.1217,40323.7955
2.94344,28852.5261,39683.9019,40319.4634
2.94806,28871.7446,39686.6402,40315.1786
2.95267,28890.7519,39689.3374,40310.9404
2.95728,28909.5501,39691.994,40306.7483
2.96189,28928.1416,39694.6105,40302.6018
2.9665,28946.5284,39697.1876,40298.5001
2.97111,28964.7127,39699.7259,40294.4429
2.97572,28982.6967,39702.2258,40290.4295
2.98033,29000.4825,39704.688,40286.4593
2.98494,29018.0722,39707.1129,40282.532
2.98956,29035.4679,39709.5012,40278.6469
2.99417,29052.6715,39711.8534,40274.8035
2.99878,29069.6852,39714.17,40271.0013
3.00339,29086.511,39716.4514,40267.2398
3.008,29103.1509,39718.6983,40263.5186
3.01261,29119.6068,39720.9112,40259.837
3.01722,29135.8808,39723.0904,40256.1947
3.02183,29151.9747,39725.2366,40252.5912
3.02644,29167.8905,39727.3502,40249.0259
3.03106,29183.63,39729.4316,40245.4985
3.03567,29199.1953,39731.4814,40242.0084
3.04028,29214.5881,39733.5,40238.5552
3.04489,29229.8104,39735.4879,40235.1385
3.0495,29244.8638,39737.4455,40231.7578
3.05411,29259.7503,39739.3733,40228.4128
3.05872,29274.4717,39741.2716,40225.1029
3.06333,29289.0296,39743.1411,40221.8277
3.06794,29303.426,39744.9819,40218.5868
3.07256,29317.6625,39746.7947,40215.3799
3.07717,29331.7409,39748.5798,40212.2065
3.08178,29345.6628,39750.3376,40209.0662
3.08639,29359.43,39752.0685,40205.9587
3.091,29373.0441,39753.7729,40202.8834
3.09561,29386.5068,39755.4512,40199.8401
3.10022,29399.8198,39757.1038,40196.8284
3.10483,29412.9846,39758.7311,40193.8479
3.10944,29426.0029,39760.3335,40190.8981
3.11406,29438.8762,39761.9113,40187.9789
3.11867,29451.6062,39763.4648,40185.0897
3.12328,29464.1944,39764.9945,40182.2303
3.12789,29476.6424,39766.5007,40179.4003
