r,1,2,3,4,5,6,7,8
1.3531,-144.0065642,82.82571125,1.13400696,1.45431783,-62.15187248,82.29484967,51.76177985,-165.8485772
1.3574,-144.8794876,82.54860094,1.43721537,1.68208003,-61.0668632,82.41995513,52.21423829,-165.8566326
1.3617,-145.715283,82.26963412,1.74619198,1.91378867,-59.77222834,82.5223904,52.66124403,-165.8653296
1.366,-146.5215463,81.98861946,2.06057686,2.14906299,-58.38607563,82.61021536,53.1032159,-165.874788
1.3703,-147.3058733,81.70536563,2.38001009,2.38752227,-57.02651281,82.69148988,53.54057272,-165.8851275
1.3746,-148.0758599,81.41968131,2.70413173,2.62878575,-55.81164763,82.77427382,53.97373331,-165.8964679
1.3789,-148.8386064,81.13138682,3.03261227,2.8725011,-54.85082647,82.86605734,54.40308875,-165.9089148
1.3832,-149.5962167,80.84048849,3.36542859,3.11860222,-54.16506638,82.96858698,54.82875025,-165.9224304
1.3875,-150.3479011,80.54714209,3.7027351,3.36718884,-53.72422355,83.08028256,55.25066696,-165.9368939
1.3918,-151.0928346,80.25150762,4.04468835,3.61836271,-53.49752876,83.1995232,55.66878602,-165.9521835
1.3961,-151.8301919,79.95374507,4.3914449,3.87222556,-53.4542128,83.32468804,56.0830546,-165.9681773
1.4004,-152.5591479,79.65401444,4.74316132,4.12887915,-53.56350645,83.45415622,56.49341985,-165.9847535
1.4047,-153.2788776,79.35247574,5.09999417,4.38842521,-53.7946405,83.58630688,56.89982892,-166.0017904
1.409,-153.9885556,79.04928894,5.46210001,4.6509655,-54.11684573,83.71951915,57.30222898,-166.0191661
1.4133,-154.687357,78.74461406,5.8296354,4.91660175,-54.49935292,83.85217217,57.70056717,-166.0367587
1.4176,-155.3744566,78.43861109,6.20275691,5.18543572,-54.91139287,83.98264508,58.09479065,-166.0544465
1.4219,-156.0490292,78.13144003,6.58162109,5.45756914,-55.32219635,84.10931701,58.48484658,-166.0721077
1.4262,-156.7102498,77.82326087,6.96638451,5.73310377,-55.70099415,84.2305671,58.87068211,-166.0896204
1.4305,-157.3573041,77.51423258,7.3571992,6.01213997,-56.01743371,84.34479906,59.25224619,-166.1068647
1.4348,-157.9898085,77.20441865,7.75404175,6.29472503,-56.25732604,84.45137002,59.62955719,-166.1237898
1.4391,-158.6079372,76.89371037,8.15666104,6.58083729,-56.42745951,84.55087445,60.00272357,-166.1404355
1.4434,-159.2119019,76.581981,8.56479075,6.87045053,-56.5360225,84.6439894,60.37185981,-166.1568472
1.4477,-159.8019142,76.26910382,8.97816456,7.1635385,-56.59120336,84.73139192,60.73708038,-166.1730705
1.452,-160.3781859,75.95495208,9.39651615,7.46007496,-56.60119046,84.81375907,61.09849976,-166.1891511
1.4563,-160.9409284,75.63939904,9.8195792,7.76003366,-56.57417216,84.89176789,61.45623244,-166.2051344
1.4606,-161.4903536,75.32231798,10.24708738,8.06338837,-56.51833682,84.96609545,61.81039288,-166.2210661
1.4649,-162.0266729,75.00358215,10.67877439,8.37011285,-56.44187281,85.03741878,62.16109557,-166.2369917
1.4692,-162.5500981,74.68306483,11.1143739,8.68018085,-56.35296848,85.10641494,62.50845497,-166.2529568
1.4735,-163.0608408,74.36063926,11.5536196,8.99356614,-56.25981221,85.17376099,62.85258558,-166.269007
1.4778,-163.5591126,74.03617873,11.99624515,9.31024247,-56.17059235,85.24013397,63.19360187,-166.2851878
1.4821,-164.0451252,73.70955649,12.44198433,9.6301836,-56.09349586,85.30621083,63.53161828,-166.3015448
1.4864,-164.5191096,73.38066895,12.89068647,9.95336972,-56.03449597,85.37249471,63.86670627,-166.3181005
1.4907,-164.9813553,73.04951356,13.34255058,10.27980038,-55.99286968,85.43896307,64.19880718,-166.3348075
1.495,-165.4321627,72.71611535,13.79784154,10.60947881,-55.96663276,85.50549432,64.52783789,-166.3516055
1.4993,-165.8718323,72.38049934,14.25682422,10.94240822,-55.95380098,85.57196689,64.85371525,-166.3684338
1.5036,-166.3006647,72.04269056,14.71976347,11.27859183,-55.95239009,85.63825921,65.17635611,-166.3852321
1.5079,-166.7189603,71.70271402,15.18692417,11.61803287,-55.96041586,85.70424972,65.49567735,-166.4019398
1.5122,-167.1270196,71.36059476,15.65857118,11.96073455,-55.97589407,85.76981683,65.81159581,-166.4184966
1.5165,-167.5251431,71.01635779,16.13496939,12.30670008,-55.99684046,85.83483898,66.12402835,-166.4348418
1.5208,-167.9136313,70.67002813,16.61638364,12.65593269,-56.02127081,85.89919459,66.43289183,-166.4509151
1.5251,-168.2927847,70.32163082,17.10307882,13.0084356,-56.04720088,85.96276209,66.73810312,-166.466656
1.5294,-168.6629037,69.97119086,17.59531978,13.36421202,-56.07264643,86.02541991,67.03957906,-166.4820039
1.5337,-169.0242889,69.6187333,18.0933714,13.72326518,-56.09562324,86.08704647,67.33723653,-166.4968985
1.538,-169.3772061,69.26428322,18.59746484,14.08559911,-56.11434049,86.14754078,67.63101689,-166.5113001
1.5423,-169.7216539,68.90786667,19.10757187,14.45122422,-56.12849585,86.20696012,67.92105017,-166.5253301
1.5466,-170.0575072,68.54951026,19.62354383,14.82015386,-56.13847794,86.26543523,68.20755398,-166.5391842
1.5509,-170.38464,68.18924065,20.14523144,15.19240139,-56.1446792,86.32309728,68.49074641,-166.5530589
1.5552,-170.7029265,67.82708448,20.67248537,15.56798018,-56.14749206,86.38007744,68.77084555,-166.5671505
1.5595,-171.0122407,67.46306839,21.20515633,15.9469036,-56.14730892,86.43650687,69.04806948,-166.5816552
1.5638,-171.3124568,67.09721903,21.74309502,16.32918501,-56.14452223,86.49251671,69.3226363,-166.5967694
1.5681,-171.6034488,66.72956304,22.28615211,16.71483778,-56.1395244,86.54823815,69.59476409,-166.6126894
1.5724,-171.8850908,66.36012706,22.83417832,17.10387528,-56.13270787,86.60380232,69.86467093,-166.6296115
1.5767,-172.1572569,65.98893773,23.38702433,17.49631086,-56.12446506,86.65934041,70.13257493,-166.6477321
1.581,-172.4198212,65.6160217,23.94454084,17.89215791,-56.11518839,86.71498357,70.39869416,-166.6672475
1.5853,-172.6726578,65.24140562,24.50657854,18.29142978,-56.10527029,86.77086295,70.66324671,-166.688354
1.5896,-172.9156468,64.86511491,25.0729911,18.69413853,-56.09509762,86.82710579,70.92644393,-166.7112367
1.5939,-173.1488223,64.4871138,25.64370679,19.10026352,-56.08491718,86.8837401,71.18832736,-166.735801
1.5982,-173.3723797,64.10727769,26.21873233,19.50974969,-56.07482855,86.9406897,71.4487601,-166.7616579
1.6025,-173.5865221,63.72547497,26.79807815,19.92254035,-56.06492434,86.99787343,71.70759679,-166.7884046
1.6068,-173.7914527,63.34157405,27.38175467,20.33857882,-56.05529716,87.05521015,71.96469206,-166.8156381
1.6111,-173.9873747,62.95544333,27.96977233,20.75780842,-56.04603961,87.1126187,72.21990055,-166.8429556
1.6154,-174.174491,62.56695121,28.56214155,21.18017246,-56.03724431,87.17001794,72.47307691,-166.8699542
1.6197,-174.353005,62.1759661,29.15887277,21.60561426,-56.02900386,87.22732672,72.72407575,-166.896231
1.624,-174.5231197,61.78235641,29.75997642,22.03407713,-56.02141087,87.28446389,72.97275173,-166.9213832
1.6283,-174.6850383,61.38599053,30.36546292,22.4655044,-56.01455795,87.34134832,73.21895948,-166.9450077
1.6326,-174.8389639,60.98673687,30.9753427,22.89983937,-56.0085377,87.39789883,73.46255363,-166.9667019
1.6369,-174.9850996,60.58446383,31.58962619,23.33702537,-56.00344274,87.45403431,73.70338883,-166.9860627
1.6412,-175.1236484,60.17903983,32.20832363,23.77700567,-55.99936548,87.50967382,73.94132015,-167.0026881
1.6455,-175.2547477,59.7703932,32.83138534,24.2197097,-55.99634194,87.56480966,74.17633829,-167.0164031
1.6498,-175.3783777,59.35865776,33.45861805,24.66503378,-55.99427295,87.61960952,74.40875891,-167.0275772
1.6541,-175.4944956,58.94401132,34.08980741,25.11286935,-55.99303949,87.67426683,74.63894539,-167.0366599
1.6584,-175.6030585,58.5266317,34.7247391,25.56310786,-55.99252257,87.72897501,74.86726109,-167.0441007
1.6627,-175.7040237,58.10669671,35.36319878,26.01564075,-55.99260316,87.7839275,75.09406936,-167.0503488
1.667,-175.7973484,57.68438419,36.00497212,26.47035946,-55.99316227,87.83931773,75.31973359,-167.0558539
1.6713,-175.8829898,57.25987194,36.64984476,26.92715544,-55.99408087,87.89533913,75.54461712,-167.0610653
1.6756,-175.960905,56.83333778,37.29760239,27.38592013,-55.99523997,87.95218512,75.76908333,-167.0664325
1.6799,-176.0310513,56.40495954,37.94803065,27.84654499,-55.99652056,88.01004914,75.99349558,-167.0724049
